Freq,Mag,Phase,Coherence
1476.5625,-1.9539747,-95.22746,5.1788365e-06
1488.28125,2.4263964,-96.23885,3.9422425e-06
1500.0,2.3678353,-75.0911,6.0691054e-06
1511.71875,-1.0735588,-88.792656,1.6556419e-06
1523.4375,-3.8781133,-42.662956,4.2758747e-06
1535.15625,-1.2154915,-38.801163,5.040247e-06
1546.875,2.0142105,-75.7533,3.1917139e-06
1558.59375,1.1652397,-101.1499,7.6272695e-06
1570.3125,0.09933162,-125.140274,4.991599e-06
1582.03125,-1.3007034,-98.35261,6.4497426e-06
1593.75,1.8656006,-101.174225,2.8198967e-06
1605.46875,1.8158783,-132.07202,3.8585626e-06
1617.1875,-0.045963287,-137.77477,3.927687e-06
1628.90625,-0.8131241,-124.28931,4.5928564e-06
1640.625,-4.545551,-128.07524,4.977071e-06
1652.34375,-0.82423115,-143.70903,4.53731e-06
1664.0625,-3.0030665,-124.829124,5.0478234e-06
1675.78125,-4.1893053,-138.54776,4.6911864e-06
1687.5,0.3066694,-142.51634,1.988291e-06
1699.21875,-6.2666616,-93.19484,1.6583723e-06
1710.9375,1.0504682,-116.04889,1.721914e-06
1722.65625,4.24016,-139.8785,2.1668493e-06
1734.375,-0.04939854,-167.90114,3.298167e-06
1746.09375,-0.48223913,-148.76964,2.9488579e-06
1757.8125,-3.3785343,-94.327385,5.240914e-06
1769.53125,-2.4497628,-105.70764,1.565157e-06
1781.25,-3.8468728,-96.8402,4.204252e-06
1792.96875,-0.24292588,-78.083244,2.2021243e-06
1804.6875,-2.4188974,-69.927444,2.043464e-06
1816.40625,-2.7296455,-55.695374,9.758596e-07
1828.125,0.9056138,-44.976692,1.3019301e-06
1839.84375,4.181437,-70.38326,1.9361894e-06
1851.5625,5.1881886,-84.26803,1.6912758e-06
1863.28125,4.384049,-45.809013,5.5029805e-06
1875.0,-3.4523509,-75.75876,1.2367343e-06
1886.71875,-1.157998,-11.007618,1.2783081e-06
1898.4375,1.6271912,7.5039024,1.506819e-06
1910.15625,-4.765806,0.36711884,1.9454194e-06
1921.875,3.6552577,27.453766,1.2712551e-06
1933.59375,-0.3162544,-6.5942535,1.5725597e-06
1945.3125,-2.3882093,-4.6427803,1.0899322e-06
1957.03125,-3.7119875,-15.035454,1.0409385e-06
1968.75,-3.7381456,39.53083,2.091305e-06
1980.46875,0.60101116,66.60951,1.051846e-06
1992.1875,0.42903584,35.301384,9.996694e-07
2003.90625,-2.0883012,9.271942,1.5756759e-06
2015.625,-1.9674172,24.26825,1.927127e-06
2027.34375,-1.8525649,3.6927032,1.5124026e-06
2039.0625,-1.3475285,52.069145,1.730986e-06
2050.78125,-2.7055972,15.043747,2.2203344e-06
2062.5,-3.7039695,59.848248,2.60227e-06
2074.21875,3.645142,46.977512,5.838246e-06
2085.9375,2.8361583,53.824722,4.322203e-06
2097.65625,-2.8998332,18.436974,9.1962403e-07
2109.375,-0.113448784,44.214813,9.731109e-07
2121.09375,0.86866975,25.771835,2.010839e-06
2132.8125,-4.574761,14.971283,1.131181e-06
2144.53125,2.3812544,-13.941795,1.698274e-06
2156.25,-2.0726078,1.4062042,1.4718004e-06
2167.96875,-3.5606058,-59.21031,1.5704968e-06
2179.6875,2.7059002,-25.450989,3.4571467e-06
2191.40625,-2.7474463,-25.531273,3.0840993e-06
2203.125,6.229234,18.128662,4.302771e-06
2214.84375,-3.5201883,53.119904,1.9777067e-06
2226.5625,5.9968896,63.27655,3.542198e-06
2238.28125,-2.6336045,76.80107,3.3228744e-06
2250.0,2.6704757,81.61237,2.0046282e-06
2261.71875,1.856521,91.76592,3.0565466e-06
2273.4375,-3.0714245,151.36737,8.942724e-06
2285.15625,-2.985352,171.28938,2.0430076e-05
2296.875,0.49785697,173.44064,5.64568e-06
2308.59375,-2.5397797,164.759,4.0725145e-06
2320.3125,-3.884338,144.12355,3.7297914e-06
2332.03125,-0.31248912,67.71885,2.1096707e-06
2343.75,-1.8610601,70.840576,4.777309e-06
2355.46875,3.4918845,68.81204,5.0877325e-06
2367.1875,-4.9230185,46.2358,3.7842315e-06
2378.90625,-2.9089198,31.523178,2.1953178e-06
2390.625,-0.476207,27.658554,4.963788e-06
2402.34375,-3.3688385,46.129578,3.6202146e-06
2414.0625,-3.1536527,29.848297,1.184022e-05
2425.78125,-0.10189009,-15.726654,5.2879486e-06
2437.5,0.4725908,-54.499176,1.1965767e-05
2449.21875,-6.7570286,-33.909973,4.4776393e-06
2460.9375,2.0424805,6.6121063,4.850145e-06
2472.65625,3.5990717,22.992935,7.5417624e-06
2484.375,-2.3712108,17.000671,5.073347e-06
2496.09375,1.2726163,-0.12172699,1.1453058e-05
2507.8125,3.00866,31.453041,3.9357433e-06
2519.53125,-0.5950619,70.03612,9.041604e-06
2531.25,0.9700161,47.083633,5.9499644e-06
2542.96875,2.1199749,42.942673,6.7174933e-06
2554.6875,1.7667714,46.103317,6.614166e-06
